data,grupo_muscular,exercicio,tipo,peso_kg,serie,repeticoes
2026-06-11,Antebraco,Antebraco puxada,Cabo,9.1,2,10
2026-06-11,Antebraco,Antebraco puxada,Cabo,11.3,3,2
2026-06-12,Pernas,Extensora,Maquina,29,1,10
2026-06-12,Pernas,Extensora,Maquina,36,2,10
2026-06-12,Pernas,Extensora,Maquina,43,3,8
2026-06-12,Pernas,Flexora,Maquina,18,1,10
2026-06-12,Pernas,Flexora,Maquina,18,2,10
2026-06-12,Pernas,Flexora,Maquina,18,3,8
2026-06-12,Pernas,Abdutora,Maquina,36,1,10
2026-06-12,Pernas,Abdutora,Maquina,43,2,10
2026-06-12,Pernas,Abdutora,Maquina,43,3,10
2026-06-12,Pernas,Adutora,Maquina,36,1,10
2026-06-12,Pernas,Adutora,Maquina,36,2,10
2026-06-12,Pernas,Adutora,Maquina,36,3,10
2026-06-12,Ombro,Lateral,Maquina,18,1,10
2026-06-12,Ombro,Lateral,Maquina,18,2,10
2026-06-12,Ombro,Lateral,Maquina,23,3,10
2026-06-12,Ombro,Desenvolvimento,Maquina,10,1,10
2026-06-12,Ombro,Desenvolvimento,Maquina,10,2,10
2026-06-12,Ombro,Desenvolvimento,Maquina,10,3,10
2026-06-12,Abdomen,Abdominal,Maquina,29,1,10
2026-06-12,Abdomen,Abdominal,Maquina,43,2,8
2026-06-15,Costas,Puxada alta,Maquina,39,1,10
2026-06-15,Costas,Puxada alta,Maquina,45,2,10
2026-06-15,Costas,Puxada alta,Maquina,45,3,7
2026-06-15,Costas,Puxada baixa,Maquina,23,1,10
2026-06-15,Costas,Puxada baixa,Maquina,29,2,10
2026-06-15,Costas,Puxada baixa,Maquina,29,3,10
2026-06-15,Costas,Crucifixo costas,Maquina,25,1,8
2026-06-15,Costas,Crucifixo costas,Maquina,25,2,7
2026-06-15,Costas,Crucifixo costas,Maquina,25,3,6
2026-06-15,Biceps,Biceps,Maquina,23,1,10
2026-06-15,Biceps,Biceps,Maquina,29,2,10
2026-06-15,Biceps,Biceps,Maquina,36,3,6
2026-06-15,Ombro,Lateral,Maquina,18,1,10
2026-06-15,Ombro,Lateral,Maquina,23,2,10
2026-06-15,Ombro,Lateral,Maquina,27,3,8
